Country,Year,Sex,NEET_Rate,Education_Expenditure
LT,2022,Males,9.6,36.4
LU,2015,Females,8.6,40.4
LU,2015,Males,6.5,40.4
LU,2016,Females,8.3,40.0
LU,2016,Males,5.4,40.0
LU,2017,Females,6.9,41.3
LU,2017,Males,6.4,41.3
LU,2018,Females,9.6,42.3
LU,2018,Males,5.4,42.3
LU,2019,Females,5.9,43.1
LU,2019,Males,7.0,43.1
LU,2020,Females,6.6,47.0
LU,2020,Males,8.7,47.0
LU,2021,Females,8.5,42.9
LU,2021,Males,9.0,42.9
LU,2022,Females,6.4,43.9
LU,2022,Males,7.2,43.9
LV,2015,Females,15.4,38.7
LV,2015,Males,12.2,38.7
LV,2016,Females,13.6,37.5
LV,2016,Males,12.9,37.5
LV,2017,Females,13.5,38.2
LV,2017,Males,11.1,38.2
LV,2018,Females,12.4,39.3
LV,2018,Males,10.8,39.3
LV,2019,Females,10.6,38.4
LV,2019,Males,10.0,38.4
LV,2020,Females,12.6,42.5
LV,2020,Males,11.3,42.5
LV,2021,Females,12.6,44.7
LV,2021,Males,11.5,44.7
LV,2022,Females,11.6,40.4
LV,2022,Males,11.0,40.4
MT,2015,Females,15.0,38.5
MT,2015,Males,8.8,38.5
MT,2016,Females,12.1,36.4
MT,2016,Males,6.9,36.4
MT,2017,Females,9.8,34.5
MT,2017,Males,7.8,34.5
MT,2018,Females,9.0,36.0
MT,2018,Males,6.1,36.0
MT,2019,Females,10.6,35.7
MT,2019,Males,6.7,35.7
MT,2020,Females,10.9,45.3
MT,2020,Males,8.7,45.3
MT,2021,Females,12.0,42.9
MT,2021,Males,9.2,42.9
MT,2022,Females,7.9,39.3
MT,2022,Males,7.4,39.3
NL,2015,Females,8.8,44.8
NL,2015,Males,5.9,44.8
NL,2016,Females,8.2,43.6
NL,2016,Males,5.8,43.6
NL,2017,Females,7.9,42.5
NL,2017,Males,5.3,42.5
NL,2018,Females,7.4,42.3
NL,2018,Males,5.2,42.3
NL,2019,Females,6.9,42.1
NL,2019,Males,5.7,42.1
NL,2020,Females,7.2,47.8
NL,2020,Males,5.5,47.8
NL,2021,Females,4.2,46.0
NL,2021,Males,3.6,46.0
NL,2022,Females,4.6,43.5
NL,2022,Males,3.8,43.5
NO,2015,Females,9.4,49.0
NO,2015,Males,7.3,49.0
NO,2016,Females,9.0,51.2
NO,2016,Males,7.7,51.2
NO,2017,Females,9.1,50.1
NO,2017,Males,6.3,50.1
NO,2018,Females,8.7,48.5
NO,2018,Males,6.7,48.5
NO,2019,Females,8.8,51.1
NO,2019,Males,6.3,51.1
NO,2020,Females,8.5,57.6
NO,2020,Males,7.2,57.6
NO,2021,Females,7.3,47.1
NO,2021,Males,7.5,47.1
NO,2022,Females,6.8,38.4
NO,2022,Males,6.8,38.4
PL,2015,Females,16.5,41.7
PL,2015,Males,13.3,41.7
PL,2016,Females,16.8,41.3
PL,2016,Males,11.3,41.3
PL,2017,Females,16.7,41.4
PL,2017,Males,9.6,41.4
PL,2018,Females,16.2,41.4
PL,2018,Males,8.4,41.4
PL,2019,Females,15.3,41.9
PL,2019,Males,7.7,41.9
PL,2020,Females,16.1,48.2
PL,2020,Males,9.0,48.2
PL,2021,Females,16.3,44.1
PL,2021,Males,10.1,44.1
PL,2022,Females,13.3,43.9
PL,2022,Males,8.2,43.9
PT,2015,Females,14.4,48.2
PT,2015,Males,12.1,48.2
PT,2016,Females,13.2,44.8
PT,2016,Males,12.4,44.8
PT,2017,Females,10.7,45.4
PT,2017,Males,10.4,45.4
PT,2018,Females,10.0,43.2
PT,2018,Males,9.2,43.2
PT,2019,Females,10.1,42.5
PT,2019,Males,8.3,42.5
PT,2020,Females,11.1,49.2
PT,2020,Males,11.0,49.2
PT,2021,Females,10.0,47.5
PT,2021,Males,9.7,47.5
PT,2022,Females,8.8,44.1
PT,2022,Males,8.5,44.1
RO,2015,Females,30.6,36.0
RO,2015,Males,21.4,36.0
RO,2016,Females,29.1,35.0
RO,2016,Males,19.9,35.0
RO,2017,Females,26.5,33.6
RO,2017,Males,17.9,33.6
RO,2018,Females,26.3,34.5
RO,2018,Males,16.6,34.5
RO,2019,Females,25.8,36.3
RO,2019,Males,16.2,36.3
RO,2020,Females,25.9,41.8
RO,2020,Males,15.7,41.8
RO,2021,Females,26.3,40.0
RO,2021,Males,14.6,40.0
RO,2022,Females,25.4,40.2
RO,2022,Males,14.5,40.2
SE,2015,Females,6.8,49.4
SE,2015,Males,7.1,49.4
SE,2016,Females,6.6,49.7
SE,2016,Males,6.8,49.7
SE,2017,Females,6.6,49.3
SE,2017,Males,6.3,49.3
SE,2018,Females,6.6,49.9
SE,2018,Males,6.5,49.9
SE,2019,Females,5.9,49.2
SE,2019,Males,6.0,49.2
SE,2020,Females,6.8,52.1
SE,2020,Males,6.9,52.1
SE,2021,Females,6.3,49.2
SE,2021,Males,5.8,49.2
SE,2022,Females,5.9,47.6
SE,2022,Males,5.4,47.6
SI,2015,Females,10.6,48.7
SI,2015,Males,10.4,48.7
SI,2016,Females,9.3,46.2
SI,2016,Males,9.4,46.2
SI,2017,Females,8.7,44.1
SI,2017,Males,7.2,44.1
SI,2018,Females,8.4,43.5
SI,2018,Males,6.6,43.5
SI,2019,Females,9.2,43.4
SI,2019,Males,5.9,43.4
SI,2020,Females,8.9,51.4
SI,2020,Males,6.9,51.4
SI,2021,Females,8.2,49.5
SI,2021,Males,6.6,49.5
SI,2022,Females,9.8,47.2
SI,2022,Males,7.2,47.2
SK,2015,Females,18.9,45.6
SK,2015,Males,14.0,45.6
SK,2016,Females,18.5,42.5
SK,2016,Males,11.8,42.5
SK,2017,Females,19.1,39.5
SK,2017,Males,11.3,39.5
SK,2018,Females,17.6,39.7
SK,2018,Males,10.1,39.7
SK,2019,Females,17.2,40.5
SK,2019,Males,10.3,40.5
SK,2020,Females,17.8,44.7
SK,2020,Males,11.1,44.7
SK,2021,Females,17.5,45.3
SK,2021,Males,11.1,45.3
SK,2022,Females,13.9,42.3
SK,2022,Males,10.8,42.3
